13,"This combines the National Occupational Classification (NOC) codes 00, 10, 20, 30, 40 and 50."
14,"This combines the National Occupational Classification (NOC) codes 70, 80 and 90."
15,"This combines the National Occupational Classification (NOC) codes 11 to 14."
16,"This combines the National Occupational Classification (NOC) codes 21 to 22."
17,"This combines the National Occupational Classification (NOC) codes 31 to 33."
18,"This combines the National Occupational Classification (NOC) codes 41 to 45."
19,"This combines the National Occupational Classification (NOC) codes 44 to 45."
20,"This combines the National Occupational Classification (NOC) codes 51 to 55."
21,"This combines the National Occupational Classification (NOC) codes 54 to 55."
22,"This combines the National Occupational Classification (NOC) codes 62 to 65."
23,"This combines the National Occupational Classification (NOC) codes 72 to 75."
24,"This combines the National Occupational Classification (NOC) codes 82 to 85."
25,"This combines the National Occupational Classification (NOC) codes 82 to 83."
26,"This combines the National Occupational Classification (NOC) codes 84 to 85."
27,"This combines the National Occupational Classification (NOC) codes 92 to 95."
28,"This combines the National Occupational Classification (NOC) codes 92 to 93."



"How to cite: Statistics Canada. Table 14-10-0417-01  Employee wages by occupation, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
